method,query,rank,score,text_id,chapter_title,text_preview
TF-IDF,rabbit hole,1,0.5877689831280128,text_0179,CHAPTER VIII — The Queen's Croquet-Ground,"She was walking by the White Rabbit, who was peeping anxiously into her face. `Very,' said Alice: `--where's the Duchess?' `Hush! Hush!' said the Rabbit in a low, hurried tone. He looked anxiously over his shoulder as he"
TF-IDF,rabbit hole,2,0.5245735245872675,text_0002,CHAPTER I — Down the Rabbit-Hole,"I shall be late!' (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually TOOK A WATCH OUT OF ITS WAIST"
TF-IDF,rabbit hole,3,0.5173964090804859,text_0001,CHAPTER I — Down the Rabbit-Hole,"There was nothing so VERY remarkable in that; nor did Alice think it so VERY much out of the way to hear the Rabbit say to itself, `Oh dear! Oh dear!"
all-MiniLM-L6-v2,rabbit hole,1,0.5011534094810486,text_0003,CHAPTER I — Down the Rabbit-Hole,"In another moment down went Alice after it, never once considering how in the world she was to get out again. The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that A"
all-MiniLM-L6-v2,rabbit hole,2,0.48429790139198303,text_0002,CHAPTER I — Down the Rabbit-Hole,"I shall be late!' (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually TOOK A WATCH OUT OF ITS WAIST"
all-MiniLM-L6-v2,rabbit hole,3,0.4565218687057495,text_0074,CHAPTER IV — The Rabbit Sends in a Little Bill,"Alice heard it say to itself `Then I'll go round and get in at the window.' `THAT you won't' thought Alice, and, after waiting till she fancied she heard the Rabbit just under the window, she suddenly spread out her hand"
TF-IDF,mad tea party,1,0.5654973444171245,text_0043,CHAPTER II — The Pool of Tears,"Alice led the way, and the whole party swam to the shore."
TF-IDF,mad tea party,2,0.47562457995819385,text_0137,CHAPTER VI — Pig and Pepper,"You're mad.' `How do you know I'm mad?' said Alice. `You must be,' said the Cat, `or you wouldn't have come here.' Alice didn't think that proved it at all; however, she went on `And how do you know that you're mad?' `To"
TF-IDF,mad tea party,3,0.4087767944766944,text_0136,CHAPTER VI — Pig and Pepper,"`--so long as I get SOMEWHERE,' Alice added as an explanation. `Oh, you're sure to do that,' said the Cat, `if you only walk long enough.' Alice felt that this could not be denied, so she tried another question. `What so"
all-MiniLM-L6-v2,mad tea party,1,0.5132418870925903,text_0166,CHAPTER VII — A Mad Tea-Party,"`It's the stupidest tea-party I ever was at in all my life!' Just as she said this, she noticed that one of the trees had a door leading right into it. `That's very curious!' she thought. `But everything's curious today."
all-MiniLM-L6-v2,mad tea party,2,0.40144082903862,text_0155,CHAPTER VII — A Mad Tea-Party,"`Is that the reason so many tea-things are put out here?' she asked. `Yes, that's it,' said the Hatter with a sigh: `it's always tea-time, and we've no time to wash the things between whiles.' `Then you keep moving round"
all-MiniLM-L6-v2,mad tea party,3,0.379546582698822,text_0142,CHAPTER VII — A Mad Tea-Party,"There was a table set out under a tree in front of the house, and the March Hare and the Hatter were having tea at it: a Dormouse was sitting between them, fast asleep, and the other two were using it as a cushion, resti"
TF-IDF,queen of hearts,1,0.6725764770533218,text_0172,CHAPTER VIII — The Queen's Croquet-Ground,"After these came the royal children; there were ten of them, and the little dears came jumping merrily along hand in hand, in couples: they were all ornamented with hearts. Next came the guests, mostly Kings and Queens, "
TF-IDF,queen of hearts,2,0.42227005171271415,text_0243,CHAPTER XI — Who Stole the Tarts?,"The King and Queen of Hearts were seated on their throne when they arrived, with a great crowd assembled about them--all sorts of little birds and beasts, as well as the whole pack of cards: the Knave was standing before"
TF-IDF,queen of hearts,3,0.3739270582342571,text_0250,CHAPTER XI — Who Stole the Tarts?,"On this the White Rabbit blew three blasts on the trumpet, and then unrolled the parchment scroll, and read as follows:-- `The Queen of Hearts, she made some tarts, All on a summer day: The Knave of Hearts, he stole thos"
all-MiniLM-L6-v2,queen of hearts,1,0.5335818529129028,text_0172,CHAPTER VIII — The Queen's Croquet-Ground,"After these came the royal children; there were ten of them, and the little dears came jumping merrily along hand in hand, in couples: they were all ornamented with hearts. Next came the guests, mostly Kings and Queens, "
all-MiniLM-L6-v2,queen of hearts,2,0.45125603675842285,text_0243,CHAPTER XI — Who Stole the Tarts?,"The King and Queen of Hearts were seated on their throne when they arrived, with a great crowd assembled about them--all sorts of little birds and beasts, as well as the whole pack of cards: the Knave was standing before"
all-MiniLM-L6-v2,queen of hearts,3,0.3527684509754181,text_0180,CHAPTER VIII — The Queen's Croquet-Ground,"`Oh, hush!' the Rabbit whispered in a frightened tone. `The Queen will hear you! You see, she came rather late, and the Queen said--' `Get to your places!' shouted the Queen in a voice of thunder, and people began runnin"
TF-IDF,dream,1,0.0,text_0039,CHAPTER II — The Pool of Tears,"She is such a dear quiet thing,' Alice went on, half to herself, as she swam lazily about in the pool, `and she sits purring so nicely by the fire, licking her paws and washing her face--and she is such a nice soft thing"
TF-IDF,dream,2,0.0,text_0038,CHAPTER II — The Pool of Tears,"`I quite forgot you didn't like cats.' `Not like cats!' cried the Mouse, in a shrill, passionate voice. `Would YOU like cats if you were me?' `Well, perhaps not,' said Alice in a soothing tone: `don't be angry about it. "
TF-IDF,dream,3,0.0,text_0037,CHAPTER II — The Pool of Tears,"`Perhaps it doesn't understand English,' thought Alice; `I daresay it's a French mouse, come over with William the Conqueror.' (For, with all her knowledge of history, Alice had no very clear notion how long ago anything"
all-MiniLM-L6-v2,dream,1,0.39898622035980225,text_0283,CHAPTER XII — Alice's Evidence,"`Wake up, Alice dear!' said her sister; `Why, what a long sleep you've had!' `Oh, I've had such a curious dream!' said Alice, and she told her sister, as well as she could remember them, all these strange Adventures of h"
all-MiniLM-L6-v2,dream,2,0.35194462537765503,text_0284,CHAPTER XII — Alice's Evidence,"But her sister sat still just as she left her, leaning her head on her hand, watching the setting sun, and thinking of little Alice and all her wonderful Adventures, till she too began dreaming after a fashion, and this "
all-MiniLM-L6-v2,dream,3,0.24956272542476654,text_0013,CHAPTER I — Down the Rabbit-Hole,"How she longed to get out of that dark hall, and wander about among those beds of bright flowers and those cool fountains, but she could not even get her head though the doorway; `and even if my head would go through,' t"
TF-IDF,door,1,0.5980384403113378,text_0117,CHAPTER VI — Pig and Pepper,"First, because I'm on the same side of the door as you are; secondly, because they're making such a noise inside, no one could possibly hear you.' And certainly there was a most extraordinary noise going on within--a con"
TF-IDF,door,2,0.44551987698510837,text_0012,CHAPTER I — Down the Rabbit-Hole,"However, on the second time round, she came upon a low curtain she had not noticed before, and behind it was a little door about fifteen inches high: she tried the little golden key in the lock, and to her great delight "
TF-IDF,door,3,0.39702642331917454,text_0116,CHAPTER VI — Pig and Pepper,"Alice laughed so much at this, that she had to run back into the wood for fear of their hearing her; and when she next peeped out the Fish-Footman was gone, and the other was sitting on the ground near the door, staring "
all-MiniLM-L6-v2,door,1,0.49631983041763306,text_0117,CHAPTER VI — Pig and Pepper,"First, because I'm on the same side of the door as you are; secondly, because they're making such a noise inside, no one could possibly hear you.' And certainly there was a most extraordinary noise going on within--a con"
all-MiniLM-L6-v2,door,2,0.4413790702819824,text_0012,CHAPTER I — Down the Rabbit-Hole,"However, on the second time round, she came upon a low curtain she had not noticed before, and behind it was a little door about fifteen inches high: she tried the little golden key in the lock, and to her great delight "
all-MiniLM-L6-v2,door,3,0.4331132173538208,text_0011,CHAPTER I — Down the Rabbit-Hole,"There were doors all round the hall, but they were all locked; and when Alice had been all the way down one side and up the other, trying every door, she walked sadly down the middle, wondering how she was ever to get ou"
TF-IDF,time,1,0.5570563056958654,text_0151,CHAPTER VII — A Mad Tea-Party,"It's HIM.' `I don't know what you mean,' said Alice. `Of course you don't!' the Hatter said, tossing his head contemptuously. `I dare say you never even spoke to Time!' `Perhaps not,' Alice cautiously replied: `but I kno"
TF-IDF,time,2,0.4016333574618209,text_0233,CHAPTER X — The Lobster Quadrille,"The adventures first,' said the Gryphon in an impatient tone: `explanations take such a dreadful time.' So Alice began telling them her adventures from the time when she first saw the White Rabbit. She was a little nervo"
TF-IDF,time,3,0.3132219825449172,text_0193,CHAPTER VIII — The Queen's Croquet-Ground,"The executioner's argument was, that you couldn't cut off a head unless there was a body to cut it off from: that he had never had to do such a thing before, and he wasn't going to begin at HIS time of life. The King's a"
all-MiniLM-L6-v2,time,1,0.3059246242046356,text_0151,CHAPTER VII — A Mad Tea-Party,"It's HIM.' `I don't know what you mean,' said Alice. `Of course you don't!' the Hatter said, tossing his head contemptuously. `I dare say you never even spoke to Time!' `Perhaps not,' Alice cautiously replied: `but I kno"
all-MiniLM-L6-v2,time,2,0.25468531250953674,text_0152,CHAPTER VII — A Mad Tea-Party,"Half-past one, time for dinner!' (`I only wish it was,' the March Hare said to itself in a whisper.) `That would be grand, certainly,' said Alice thoughtfully: `but then--I shouldn't be hungry for it, you know.' `Not at "
all-MiniLM-L6-v2,time,3,0.24095483124256134,text_0127,CHAPTER VI — Pig and Pepper,"You see the earth takes twenty-four hours to turn round on its axis--' `Talking of axes,' said the Duchess, `chop off her head!' Alice glanced rather anxiously at the cook, to see if she meant to take the hint; but the c"
TF-IDF,mushroom,1,0.594535766736688,text_0102,CHAPTER V — Advice from a Caterpillar,"The other side of WHAT?' thought Alice to herself. `Of the mushroom,' said the Caterpillar, just as if she had asked it aloud; and in another moment it was out of sight. Alice remained looking thoughtfully at the mushroo"
TF-IDF,mushroom,2,0.48867977731793877,text_0090,CHAPTER IV — The Rabbit Sends in a Little Bill,"She stretched herself up on tiptoe, and peeped over the edge of the mushroom, and her eyes immediately met those of a large caterpillar, that was sitting on the top with its arms folded, quietly smoking a long hookah, an"
TF-IDF,mushroom,3,0.3803773588196124,text_0111,CHAPTER V — Advice from a Caterpillar,"Alice crouched down among the trees as well as she could, for her neck kept getting entangled among the branches, and every now and then she had to stop and untwist it. After a while she remembered that she still held th"
all-MiniLM-L6-v2,mushroom,1,0.4833087623119354,text_0090,CHAPTER IV — The Rabbit Sends in a Little Bill,"She stretched herself up on tiptoe, and peeped over the edge of the mushroom, and her eyes immediately met those of a large caterpillar, that was sitting on the top with its arms folded, quietly smoking a long hookah, an"
all-MiniLM-L6-v2,mushroom,2,0.45374709367752075,text_0102,CHAPTER V — Advice from a Caterpillar,"The other side of WHAT?' thought Alice to herself. `Of the mushroom,' said the Caterpillar, just as if she had asked it aloud; and in another moment it was out of sight. Alice remained looking thoughtfully at the mushroo"
all-MiniLM-L6-v2,mushroom,3,0.45000356435775757,text_0089,CHAPTER IV — The Rabbit Sends in a Little Bill,"I suppose I ought to eat or drink something or other; but the great question is, what?' The great question certainly was, what? Alice looked all round her at the flowers and the blades of grass, but she did not see anyth"
